field,experiment,value,is_consistent,consistency_state,non_empty_count,total_count
eval_protocol,exp1_sota,strict_autoregressive,1,consistent,4,4
eval_protocol,exp2_ablation,strict_autoregressive,1,consistent,4,4
eval_protocol,exp3_robustness,strict_autoregressive,1,consistent,4,4
eval_protocol,exp4_physics_consistency,strict_autoregressive,1,consistent,4,4
eval_ar_seed_mode,exp1_sota,zero,1,consistent,4,4
eval_ar_seed_mode,exp2_ablation,zero,1,consistent,4,4
eval_ar_seed_mode,exp3_robustness,zero,1,consistent,4,4
eval_ar_seed_mode,exp4_physics_consistency,zero,1,consistent,4,4
train_supervision_protocol,exp1_sota,shifted_next_step,1,consistent,4,4
train_supervision_protocol,exp2_ablation,shifted_next_step,1,consistent,4,4
train_supervision_protocol,exp3_robustness,shifted_next_step,1,consistent,4,4
train_supervision_protocol,exp4_physics_consistency,shifted_next_step,1,consistent,4,4
optimizer_profile,exp1_sota,enhanced,1,consistent,4,4
optimizer_profile,exp2_ablation,enhanced,1,consistent,4,4
optimizer_profile,exp3_robustness,enhanced,1,consistent,4,4
optimizer_profile,exp4_physics_consistency,enhanced,1,consistent,4,4
strict_repro_mode,exp1_sota,False,1,consistent,4,4
strict_repro_mode,exp2_ablation,False,1,consistent,4,4
strict_repro_mode,exp3_robustness,False,1,consistent,4,4
strict_repro_mode,exp4_physics_consistency,False,1,consistent,4,4
