experiment,phase,seed,eval_protocol,eval_ar_seed_mode,train_supervision_protocol,optimizer_profile,strict_repro_mode,scenario_type,scenario_value,model,horizon,metric,value
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),32,mse_mean,0.16584438714198768
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),32,mse_std,0.007701103575527668
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),32,mae_mean,0.2672333971131593
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),32,mae_std,0.004105234984308481
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),32,fde_mean,261498.20385742188
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),32,fde_std,23288.3603515625
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),32,ade_mean,323657.14453125
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),32,ade_std,16256.5341796875
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),64,mse_mean,0.2634987864876166
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),64,mse_std,0.004571171826682985
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),64,mae_mean,0.2968495669774711
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),64,mae_std,0.0007187970913946629
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),64,fde_mean,213730.5321044922
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),64,fde_std,27583.794311523438
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),64,ade_mean,276731.3934326172
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),64,ade_std,19989.911743164062
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),128,mse_mean,0.21067953493911773
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),128,mse_std,0.002468236139975488
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),128,mae_mean,0.2616079687140882
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),128,mae_std,0.0014301305636763573
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),128,fde_mean,307818.0029296875
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),128,fde_std,3255.728515625
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),128,ade_mean,266799.6495361328
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),128,ade_std,15249.464233398438
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),256,mse_mean,0.21067953493911773
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),256,mse_std,0.002468236139975488
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),256,mae_mean,0.2616079687140882
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),256,mae_std,0.0014301305636763573
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),256,fde_mean,307818.0029296875
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),256,fde_std,3255.728515625
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),256,ade_mean,266799.6495361328
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Transformer (baseline),256,ade_std,15249.464233398438
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),32,mse_mean,0.2399344727746211
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),32,mse_std,0.11514562420779839
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),32,mae_mean,0.3130481658736244
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),32,mae_std,0.1216528796358034
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),32,fde_mean,462463.53717041016
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),32,fde_std,325400.25091552734
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),32,ade_mean,622304.2725830078
